plot	sp.code	d6	dbh	tht	cr	n.stems	expf	crown.width
131	DF	0.2	0	2.2	0.9	1	12.1	1
131	DF	0.2	0	2.2	0.9	1	12.1	0.9
131	DF	0.2	0	1.5	0.9	1	12.1	0.8
131	DF	0.2	0	1.5	0.9	1	12.1	0.8
131	DF	0.2	0	2.4	0.9	1	12.1	1.1
131	DF	0.2	0	2.2	0.9	1	12.1	1
131	DF	0.2	0	2	0.9	1	12.1	1
131	DF	0.2	0	2	0.9	1	12.1	1
131	DF	0.2	0	2	0.9	1	12.1	1
131	DF	0.2	0	1.7	0.9	1	12.1	0.9
131	DF	0.3	0	2.2	0.9	1	12.1	1.1
131	DF	0.2	0	1.9	0.9	1	12.1	0.9
131	DF	0.2	0	1.4	0.9	1	12.1	0.8
131	DF	0.2	0	2	0.9	1	12.1	1
131	DF	0.3	0	1.8	0.9	1	12.1	1
131	DF	0.2	0	2	0.9	1	12.1	1
131	DF	0.2	0	2	0.9	1	12.1	1
131	DF	0.3	0	2.2	0.9	1	12.1	1.1
131	DF	0.3	0	2.4	0.9	1	12.1	1.1
131	DF	0.2	0	1.9	0.9	1	12.1	0.9
131	DF	0.2	0	1.9	0.9	1	12.1	0.9
131	DF	0.2	0	2.3	0.9	1	12.1	1
131	DF	0.2	0	1.7	0.9	1	12.1	0.8
131	DF	0.2	0	1.9	0.9	1	12.1	0.9
131	DF	0.1	0	1.5	0.9	1	12.1	0.7
131	DF	0.2	0	2.2	0.9	1	12.1	1
131	DF	0.2	0	1.9	0.9	1	12.1	0.9
131	DF	0.3	0	2.2	0.9	1	12.1	1.1
131	DF	0.2	0	1.8	0.9	1	12.1	0.8
131	DF	0.2	0	2.2	0.9	1	12.1	1
131	DF	0.2	0	1.9	0.9	1	12.1	0.8
131	DF	0.2	0	2.1	0.9	1	12.1	1
131	DF	0.2	0	2	0.9	1	12.1	0.9
131	DF	0.3	0	2.5	0.9	1	12.1	1.1
131	DF	0.2	0	2.1	0.9	1	12.1	1
131	CV	1	0	1.5	0.9	1	30328.22757	0.8
